Student,LPIPS,SSIM
1082B0005.jpg,0.0,1.0
112598006.jpg,0.3527047336101532,0.728276417380951
109590018.jpg,0.39953500032424927,0.6992910098865269
109590028.jpg,0.4022088348865509,0.7247795088783966
1092B0020.jpg,0.47370558977127075,0.7398642152626257
109300219.jpg,0.5154633522033691,0.6846117635800114
109AB0032.jpg,0.5186044573783875,0.6871723993654054
109590029.jpg,0.536316990852356,0.6624691212835888
